Asia_Ranking,Asia_City,Asia_Country,Asia_Country_url,Asia_Image
17,Naypyidaw,Myanmar,https://www.ranker.com/review/myanmar/1635902?ref=node_name&pos=17&a=0&ltype=n&l=1002311&g=2,
18,Malé,Maldives,https://www.ranker.com/review/maldives/1505231?ref=node_name&pos=18&a=0&ltype=n&l=1002311&g=2,
19,Ulan Bator,Mongolia,https://www.ranker.com/review/mongolia/1608206?ref=node_name&pos=19&a=0&ltype=n&l=1002311&g=2,
20,Astana,Kazakhstan,https://www.ranker.com/review/kazakhstan/1355796?ref=node_name&pos=20&a=0&ltype=n&l=1002311&g=2,
21,Yerevan,Armenia,https://www.ranker.com/review/armenia/491849?ref=node_name&pos=21&a=0&ltype=n&l=1002311&g=2,
22,Sri Jayawardenapura Kotte,Sri Lanka,https://www.ranker.com/review/sri-lanka/2080963?ref=node_name&pos=22&a=0&ltype=n&l=1002311&g=2,
23,Tashkent,Uzbekistan,https://www.ranker.com/review/uzbekistan/2318789?ref=node_name&pos=23&a=0&ltype=n&l=1002311&g=2,
24,,Isreal,,
25,Thimphu,Bhutan,https://www.ranker.com/review/bhutan/578680?ref=node_name&pos=25&a=0&ltype=n&l=1002311&g=2,
26,Bishkek,Kyrgyzstan,https://www.ranker.com/review/kyrgyzstan/68007752?ref=node_name&pos=26&a=0&ltype=n&l=1002311&g=2,
27,Baku,Azerbaijan,https://www.ranker.com/review/azerbaijan/520422?ref=node_name&pos=27&a=0&ltype=n&l=1002311&g=2,
28,Bandar Seri Begawan,Brunei,https://www.ranker.com/review/brunei-darussalam/636407?ref=node_name&pos=28&a=0&ltype=n&l=1002311&g=2,
29,Dhaka,Bangladesh,https://www.ranker.com/review/bangladesh/538548?ref=node_name&pos=29&a=0&ltype=n&l=1002311&g=2,
30,Dili,Timor-Leste,https://www.ranker.com/review/east-timor/906535?ref=node_name&pos=30&a=0&ltype=n&l=1002311&g=2,
31,Dushanbe,Tajikistan,https://www.ranker.com/review/tajikistan/2143398?ref=node_name&pos=31&a=0&ltype=n&l=1002311&g=2,
32,Ashgabat,Turkmenistan,https://www.ranker.com/review/turkmenistan/2287828?ref=node_name&pos=32&a=0&ltype=n&l=1002311&g=2,
33,Doha,Qatar,https://www.ranker.com/review/qatar/1855844?ref=node_name&pos=33&a=0&ltype=n&l=1002311&g=2,
34,Islamabad,Pakistan,https://www.ranker.com/review/pakistan/1746526?ref=node_name&pos=34&a=0&ltype=n&l=1002311&g=2,
35,Cairo,Egypt,https://www.ranker.com/review/egypt/919870?ref=node_name&pos=35&a=0&ltype=n&l=1002311&g=2,
36,Muscat,Oman,https://www.ranker.com/review/oman/1719307?ref=node_name&pos=36&a=0&ltype=n&l=1002311&g=2,
37,Tehran,Iran,https://www.ranker.com/review/iran/1235118?ref=node_name&pos=37&a=0&ltype=n&l=1002311&g=2,
38,Kuwait City,Kuwait,https://www.ranker.com/review/kuwait/1399153?ref=node_name&pos=38&a=0&ltype=n&l=1002311&g=2,
39,Manama,Bahrain,https://www.ranker.com/review/bahrain/532890?ref=node_name&pos=39&a=0&ltype=n&l=1002311&g=2,
40,Beirut,Lebanon,https://www.ranker.com/review/lebanon/1426701?ref=node_name&pos=40&a=0&ltype=n&l=1002311&g=2,
41,Amman,Jordan,https://www.ranker.com/review/jordan/1320654?ref=node_name&pos=41&a=0&ltype=n&l=1002311&g=2,
42,Pyongyang,North Korea,https://www.ranker.com/review/north-korea/1693809?ref=node_name&pos=42&a=0&ltype=n&l=1002311&g=2,
43,Abu Dhabi,United Arab Emirates,https://www.ranker.com/review/united-arab-emirates/2303528?ref=node_name&pos=43&a=0&ltype=n&l=1002311&g=2,
44,Riyadh,Saudi Arabia,https://www.ranker.com/review/saudi-arabia/1981812?ref=node_name&pos=44&a=0&ltype=n&l=1002311&g=2,
45,Moscow,Russia,https://www.ranker.com/review/russia/1951582?ref=node_name&pos=45&a=0&ltype=n&l=1002311&g=2,
46,Kabul,Afghanistan,https://www.ranker.com/review/afghanistan/406929?ref=node_name&pos=46&a=0&ltype=n&l=1002311&g=2,
47,,State of Palestine,https://www.ranker.com/review/state-of-palestine/2088254?ref=node_name&pos=47&a=0&ltype=n&l=1002311&g=2,
48,Baghdad,Iraq,https://www.ranker.com/review/iraq/1235306?ref=node_name&pos=48&a=0&ltype=n&l=1002311&g=2,
49,Damascus,Syria,https://www.ranker.com/review/syria/2136947?ref=node_name&pos=49&a=0&ltype=n&l=1002311&g=2,
50,Tbilisi,Georgia,https://www.ranker.com/review/georgia/2912?ref=node_name&pos=50&a=0&ltype=n&l=1002311&g=2,
{,,,,
" ""selection1"": [",,,,
  {,,,,
"   ""name"": ""#1\nHong Kong"",",,,,
"   ""selection2"": ""#1 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#2\nMaldives"",",,,,
"   ""selection2"": ""#2 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#3\nTokyo"",",,,,
"   ""selection2"": ""#3 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#4\nPhuket"",",,,,
"   ""selection2"": ""#4 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#5\nBali"",",,,,
"   ""selection2"": ""#5 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#6\nChiang Mai"",",,,,
"   ""selection2"": ""#6 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#7\nSingapore"",",,,,
"   ""selection2"": ""#7 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#8\nKyoto"",",,,,
"   ""selection2"": ""#8 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#9\nBangkok"",",,,,
"   ""selection2"": ""#9 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#10\nTaipei"",",,,,
"   ""selection2"": ""#10 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#11\nSeoul"",",,,,
"   ""selection2"": ""#11 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#12\nGuilin and Lijiang River National Park"",",,,,
"   ""selection2"": ""#12 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#13\nRailay Beach"",",,,,
"   ""selection2"": ""#13 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#14\nHanoi"",",,,,
"   ""selection2"": ""#14 in Best Places to Visit in Asia""",,,,
"  },",,,,
  {,,,,
"   ""name"": ""#15\nHo Chi Minh City"",",,,,
"   ""selection2"": ""#15 in Best Places to Visit in Asia""",,,,
  },,,,
 ],,,,
},,,,
